Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
